Qubit,,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,Operational
97,,359.61977836917316,378.18551436808394,0.002685547,0.002929688,0.001464844,2584,0.000301468,32,0.000301468,0,0.000301468,0.000301468,87:0.001739952991264837;107:0.0012099099490741339,87:88;107:88,87:0.0032550574292958545;107:0.0008852590142720274,Yes
98,,273.4226985,394.2282746216327,0.005371094,0.008300781,0.005859375,2584,0.000202901,32,0.000202901,0,0.000202901,0.000202901,91:0.0012116693849034132;111:0.004400267314257328,91:88;111:88,91:0.001353736085670465;111:0.0011750649730938312,Yes
99,,368.4507373289224,400.46426528190625,0.023803711,0.023925781,0.020996094,2584,0.000187204,32,0.000187204,0,0.000187204,0.000187204,115:0.002646164324677347;95:0.0012831890228733323,115:88;95:88,35:00.0,Yes
100,,405.7825448215018,574.1039272382752,0.00378418,0.005371094,0.004394531,2584,,32,,0,,,41:00.0,101:88,41:00.0,Yes
101,,334.0596885111363,415.61426214154545,0.016357422,0.013183594,0.010742188,2584,,32,,0,,,100:0.0014620768130929052;116:0.001473454213682307;102:0.0013995158658146878,100:88;116:88;102:88,100:0.00243303149563065;116:0.0014419811382566927;102:0.0010745469082039105,Yes
102,,253.52772409375086,382.5749836189444,0.002929688,0.008789063,0.001464844,2584,0.000371192,32,0.000371192,0,0.000371192,0.000371192,101:0.0013995158658146878;103:0.0013478647231680019,101:88;103:88,101:0.0010745469082039105;103:0.0013511399258606949,Yes
103,,436.71197624082237,408.1082677290991,0.00402832,0.006835938,0.000976563,2584,0.000177554,32,0.000177554,0,0.000177554,0.000177554,104:0.0010591897252300864;96:0.006497679109657956;102:0.0013478647231680019,104:88;96:88;102:88,104:0.0008759047321915681;96:0.005750988963855425;102:0.0013511399258606949,Yes
104,,262.98015523232027,312.16129818246196,0.002685547,0.004394531,0.001464844,2584,,32,,0,,,103:0.0010591897252300864;105:0.002829421513757313,103:88;105:88,103:0.0008759047321915681;105:0.0019184009657153833,Yes
105,,403.0439153628358,447.5974733467342,0.004516602,0.003417969,0.000488281,2584,,32,,0,,,104:0.002829421513757313;106:0.0016658070155279037;117:0.0016498825442041454,104:88;106:88;117:88,104:0.0019184009657153833;106:0.0017067105773892755;117:0.16111072502202153,Yes
106,,207.21801679439886,244.47926731353164,0.002441406,0.002929688,0.000488281,2584,0.000169447,32,0.000169447,0,0.000169447,0.000169447,107:0.003340919174619067;105:0.0016658070155279037,107:88;105:88,107:0.002285573745572478;105:0.0017067105773892755,Yes
107,,458.7619906641864,371.1402194388178,0.005249023,0.002441406,0.005859375,2584,0.000280081,32,0.000280081,0,0.000280081,0.000280081,106:0.003340919174619067;108:0.0010248561628899144;97:0.0012099099490741339,106:88;108:88;97:88,106:0.002285573745572478;108:0.0012618590574080546;97:0.0008852590142720274,Yes
108,,335.0504328080051,342.0938954,0.009399414,0.01171875,0.008789063,2584,0.000293005,32,0.000293005,0,0.000293005,0.000293005,107:0.0010248561628899144;109:0.0024978367090057185,107:88;109:88,107:0.0012618590574080546;109:0.0020988810513382916,Yes
109,,388.1809880344972,352.97193181182183,0.003417969,0.004394531,0.002441406,2584,0.000141269,32,0.000141269,0,0.000141269,0.000141269,108:0.0024978367090057185;110:0.0043581297227208715;118:0.002389646178286492,108:88;110:88;118:88,108:0.0020988810513382916;110:0.0016925800859351192;118:0.006803359466633074,Yes
110,,359.2672655968437,338.92830827063193,0.004638672,0.003417969,0.004394531,2584,0.000247068,32,0.000247068,0,0.000247068,0.000247068,109:0.0043581297227208715;111:0.004315057202922357,109:88;111:88,109:0.0016925800859351192;111:0.0017716372517335155,Yes
111,,475.5146837458755,586.9764424359151,0.002807617,0.001953125,0.002929688,2584,,32,,0,,,112:0.0016918685492839647;110:0.004315057202922357;98:0.004400267314257328,112:88;110:88;98:88,112:0.0020606500705835917;110:0.0017716372517335155;98:0.0011750649730938312,Yes
112,,327.69968294843693,510.2625235639945,0.002807617,0.00390625,0.003417969,2584,0.000723345,32,0.000723345,0,0.000723345,0.000723345,111:0.0016918685492839647;113:0.002540705599863524,111:88;113:88,111:0.0020606500705835917;113:0.003197282454943551,Yes
113,,389.1603641736005,528.2874380485367,0.005004883,0.006835938,0.002441406,2584,0.000135974,32,0.000135974,0,0.000135974,0.000135974,119:0.0011241177263954516;112:0.002540705599863524;114:0.0008419678702197009,119:88;112:88;114:88,119:0.001250472646908446;112:0.003197282454943551;114:0.0013309984387791518,Yes
114,,332.1257046476963,609.2451181108657,0.00378418,0.002441406,0.000976563,2584,,32,,0,,,115:0.0012104992687348715;113:0.0008419678702197009,115:88;113:88,115:0.0006259205862445272;113:0.0013309984387791518,Yes
115,,354.15408442220087,437.21815236700616,0.003417969,0.006835938,0.0078125,2584,,32,,0,,,99:0.002646164324677347;114:0.0012104992687348715,99:88;114:88,54:00.0,Yes
116,,325.95547295481947,489.9515876,0.00390625,0.005859375,0.001464844,2584,0.000175835,32,0.000175835,0,0.000175835,0.000175835,101:0.001473454213682307;121:0.005739990795025601,101:88;121:88,41:00.0,Yes
117,,67.92543956716118,6.798287912510137,0.082275391,0.171875,0,2584,0.000380242,32,0.000380242,0,0.000380242,0.000380242,105:0.0016498825442041454;125:0.004461527310844787,105:88;125:88,105:0.16111072502202153;125:0.001971546252985762,Yes
118,,266.0979147029307,419.8919909665794,0.0078125,0.010742188,0.002929688,2584,0.000202376,32,0.000202376,0,0.000202376,0.000202376,109:0.002389646178286492;129:0.0015798987280917498,109:88;129:88,109:0.006803359466633074;129:0.003400623589956714,Yes
119,,357.9007975292342,505.7062486,0.003662109,0.005371094,0.001953125,2584,0.000161925,32,0.000161925,0,0.000161925,0.000161925,113:0.0011241177263954516;133:0.002272021337771546,113:88;133:88,113:0.001250472646908446;133:0.00045130627913586574,Yes
120,,406.7230804782259,576.2594212371494,0.011962891,0.005371094,0.009765625,2584,0.000152598,32,0.000152598,0,0.000152598,0.000152598,01:00.0,121:88,,Yes
121,,353.5914836236153,468.1492922928372,0.005493164,0.008789063,0.000488281,2584,0.0001593,32,0.0001593,0,0.0001593,0.0001593,120:0.0014211775484652966;122:0.001954583357139439;116:0.005739990795025601,120:88;122:88;116:88,02:00.0,Yes
122,,249.52411,420.11019996146365,0.004272461,0.006347656,0.00390625,2584,0.000184138,32,0.000184138,0,0.000184138,0.000184138,121:0.001954583357139439;123:0.00130858049756008,121:88;123:88,121:0.001679982455373652;123:0.0015167235377686883,Yes
123,,437.98760777450315,515.3694196,0.002807617,0.003417969,0,2584,,32,,0,,,136:0.0019897553624541597;124:0.002064853480877621;122:0.00130858049756008,136:88;124:88;122:88,02:00.0,Yes
124,,442.8508775415892,396.5324223076605,0.006958008,0.0078125,0.00390625,2584,0.000129758,32,0.000129758,0,0.000129758,0.000129758,123:0.002064853480877621;125:0.001316710188908693,123:88;125:88,,Yes
125,,363.85815700270854,317.4000099000305,0.006958008,0.009277344,0.000976563,2584,0.000254749,32,0.000254749,0,0.000254749,0.000254749,117:0.004461527310844787;124:0.001316710188908693;126:0.004085280823539872,117:88;124:88;126:88,117:0.001971546252985762;126:0.003804217308375657,Yes
