Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,RZZ error ,Gate time (ns),Operational,,RZZ,,CZ,,CZ_cleaned
61,353.2354863,285.9858795,0.027587891,0.025878906,0.029296875,2584,0.00016204,0.00016204,0,0.00016204,0.00016204,61_76:0.0037431526165832008;61_60:0.008720406989530638;61_62:0.0024611626522658137,61_76:0.001956389128855013;61_60:1;61_62:0.006521050513886739,61_76:68;61_60:80;61_62:68,TRUE,,0.005432419,,0.002360557,,
62,148.9430418,78.09560985,0.0390625,0.047363281,0.030761719,2584,0.000385455,0.000385455,0,0.000385455,0.000385455,62_61:0.0024611626522658137;62_63:0.0026486378551640044,62_61:0.006521050513886739;62_63:0.008977140081461082,62_61:68;62_63:68,TRUE,,0.004115771,,0.002274293,,
63,165.4294968,101.5976292,0.025634766,0.048339844,0.002929688,2584,0.000216052,0.000216052,0,0.000216052,0.000216052,63_56:0.006490984035824876;63_62:0.0026486378551640044;63_64:0.0035061358188007707,63_56:0.006265325369144675;63_62:0.008977140081461082;63_64:0.007361924569700112,63_56:68;63_62:68;63_64:68,TRUE,,0.003417632,,0.003495271,,
64,160.2559235,92.65698565,0.011474609,0.014648438,0.008300781,2584,0.00021421,0.00021421,0,0.00021421,0.00021421,64_65:0.002792091871067881;64_63:0.0035061358188007707,64_65:0.00324346959956906;64_63:0.007361924569700112,64_65:68;64_63:68,TRUE,,0.004115771,,0.002274293,,
65,288.76563,59.00341134,0.025390625,0.048828125,0.001953125,2584,0.000190971,0.000190971,0,0.000190971,0.000190971,65_64:0.002792091871067881;65_66:0.002577522148639322;65_77:0.0034024326735197508,65_64:0.00324346959956906;65_66:0.004271665656865542;65_77:0.0038043793193104636,65_64:68;65_66:68;65_77:68,TRUE,,0.00696491,,0.002678215,,
66,152.4571848,135.0684079,0.005126953,0.008300781,0.001953125,2584,0.000233822,0.000233822,0,0.000233822,0.000233822,66_65:0.002577522148639322;66_67:0.0033128350422093056,66_65:0.004271665656865542;66_67:0.004834084157251256,66_65:68;66_67:68,TRUE,,0.005316744,,0.005926883,,
67,201.9886311,22.30764028,0.013183594,0.015136719,0.011230469,2584,0.000140092,0.000140092,0,0.000140092,0.000140092,67_68:0.004474797875922032;67_57:0.006548285962401312;67_66:0.0033128350422093056,67_68:0.003434444014512983;67_57:1;67_66:0.004834084157251256,67_68:68;67_57:68;67_66:68,TRUE,,0.00696491,,0.002678215,,
68,132.5581258,26.30265846,0.024902344,0.041992188,0.0078125,2584,0.000384849,0.000384849,0,0.000384849,0.000384849,68_67:0.004474797875922032;68_69:0.0035727272487967032,68_67:0.003434444014512983;68_69:0.0034609695739969137,68_67:68;68_69:68,TRUE,,0.005316744,,0.005926883,,
69,168.178221,24.83220719,0.026855469,0.028808594,0.024902344,2584,0.000189473,0.000189473,0,0.000189473,0.000189473,69_78:0.005352242349815295;69_68:0.0035727272487967032;69_70:0.002765960915609711,69_78:0.0032180327535351327;69_68:0.0034609695739969137;69_70:0.0027473681120572524,69_78:68;69_68:68;69_70:80,TRUE,,0.004074361,,0.00325976,,
70,177.8436906,22.15685628,0.010986328,0.019042969,0.002929688,2584,0.000283281,0.000283281,0,0.000283281,0.000283281,70_69:0.002765960915609711;70_71:0.0025942319160623395,70_69:0.0027473681120572524;70_71:0.0029836540446654958,70_69:80;70_71:68,TRUE,,0.00538068,,0.00644397,,
71,116.910248,152.44278,0.008300781,0.015625,0.000976563,2584,0.000255655,0.000255655,0,0.000255655,0.000255655,71_72:0.0042939127230174345;71_58:0.0028034509727088985;71_70:0.0025942319160623395,71_72:0.006546216253773968;71_58:1;71_70:0.0029836540446654958,71_72:68;71_58:68;71_70:68,TRUE,,0.004074361,,0.00325976,,
72,142.5865947,63.05198527,0.010498047,0.016113281,0.004882813,2584,0.000402132,0.000402132,0,0.000402132,0.000402132,72_73:0.07307764562198515;72_71:0.0042939127230174345,72_73:0.0374277880259149;72_71:0.006546216253773968,72_73:68;72_71:68,TRUE,,0.002745667,,0.003314096,,
73,244.6529182,207.3857951,0.008056641,0.009765625,0.006347656,2584,0.00027073,0.00027073,0,0.00027073,0.00027073,73_72:0.07307764562198515;73_74:0.00415501119466638;73_79:0.002791672164987269,73_72:0.0374277880259149;73_74:0.003374983599207987;73_79:0.0027933400976995204,73_72:68;73_74:68;73_79:68,TRUE,,0.004004442,,0.002264171,,
74,132.5750585,11.80261352,0.010498047,0.020019531,0.000976563,2584,0.000506823,0.000506823,0,0.000506823,0.000506823,74_73:0.00415501119466638;74_75:0.00252823238652089,74_73:0.003374983599207987;74_75:0.0026622705932856094,74_73:68;74_75:68,TRUE,,0.002745667,,0.003314096,,
75,216.7175938,222.7768177,0.00390625,0.007324219,0.000488281,2584,0.000143157,0.000143157,0,0.000143157,0.000143157,75_59:0.003149103511306983;75_74:0.00252823238652089,75_59:1;75_74:0.0026622705932856094,75_59:68;75_74:68,TRUE,,0.001407805,,0.001614593,,
76,166.7803558,50.05110956,0.012451172,0.013183594,0.01171875,2584,0.000376344,0.000376344,0,0.000376344,0.000376344,76_81:0.0035279770932261645;76_61:0.0037431526165832008,76_81:0.0033742439307370697;76_61:0.001956389128855013,76_81:68;76_61:68,TRUE,,0.001407805,,0.001614593,,
77,230.7792089,116.214053,0.014160156,0.021972656,0.006347656,2584,0.000379773,0.000379773,0,0.000379773,0.000379773,77_85:0.0038854835584656855;77_65:0.0034024326735197508,77_85:0.0029162329904046103;77_65:0.0038043793193104636,77_85:68;77_65:68,TRUE,,0.002463452,,0.002084226,,
78,143.7602484,144.4516162,0.01171875,0.017578125,0.005859375,2584,0.000250718,0.000250718,0,0.000250718,0.000250718,78_69:0.005352242349815295;78_89:0.0033757637834512244,78_69:0.0032180327535351327;78_89:0.0025215083299916508,78_69:68;78_89:68,TRUE,,0.002805591,,0.001672683,,
79,105.4322499,33.56767435,0.011230469,0.013183594,0.009277344,2584,0.00036109,0.00036109,0,0.00036109,0.00036109,79_93:0.0024465439695114943;79_73:0.002791672164987269,79_93:0.0019711780650794875;79_73:0.0027933400976995204,79_93:68;79_73:68,TRUE,,0.002463452,,0.002084226,,
80,131.4954011,42.51308398,0.004394531,0.007324219,0.001464844,2584,0.000173425,0.000173425,0,0.000173425,0.000173425,80_81:0.0037822532369300443,80_81:0.003229091765777209,80_81:68,TRUE,,0.002842027,,0.004051398,,
81,240.2426761,227.7106694,0.013183594,0.013183594,0.013183594,2584,0.000309222,0.000309222,0,0.000309222,0.000309222,81_80:0.0037822532369300443;81_82:1;81_76:0.0035279770932261645,81_80:0.003229091765777209;81_82:1;81_76:0.0033742439307370697,81_80:68;81_82:68;81_76:68,TRUE,,0.002878954,,0.004143643,,
82,57.36857582,23.14728572,0.393066406,0.317382813,0.46875,2584,1,1,0,1,1,82_81:1;82_83:1,82_81:1;82_83:1,82_81:68;82_83:68,TRUE,,0.011283918,,0.00502926,,
83,231.5382527,278.4051841,0.134765625,0.088867188,0.180664063,2584,0.000228489,0.000228489,0,0.000228489,0.000228489,83_96:0.003013406934557372;83_82:1;83_84:0.0045237420869647105,83_96:0.0036353141717268556;83_82:1;83_84:0.0038780581977092554,83_96:68;83_82:68;83_84:68,TRUE,,0.006702121,,0.004653431,,
84,168.8092697,122.5300303,0.007080078,0.013183594,0.000976563,2584,0.000189792,0.000189792,0,0.000189792,0.000189792,84_83:0.0045237420869647105;84_85:0.0051566486502481745,84_83:0.0038780581977092554;84_85:0.006110504794181459,84_83:68;84_85:68,TRUE,,0.003417632,,0.003495271,,
85,150.0033839,80.55346667,0.006835938,0.012207031,0.001464844,2584,0.000251721,0.000251721,0,0.000251721,0.000251721,85_77:0.0038854835584656855;85_86:0.0049958995038420495;85_84:0.0051566486502481745,85_77:0.0029162329904046103;85_86:0.005690474055304373;85_84:0.006110504794181459,85_77:68;85_86:68;85_84:68,TRUE,,0.005601283,,0.004373765,,
